#dct times
dir 1024 4096 16384 
.0 4.03262 17.0614 89.9068 
30 4.08047 16.8301 90.0366 
60 3.70642 14.4027 75.1521 
90 2.39358 9.31786 41.8001 


#rtree times
dir 1024 4096 16384 
.0 4.71248 17.0036 63.5326 
30 5.15115 17.8864 69.5695 
60 5.07593 18.0558 69.2669 
90 4.77572 17.1827 64.3573 


#dcts times
dir 1024 4096 16384 
.0 1.86254 7.33243 47.3263 
30 1.83672 7.19143 46.2872 
60 1.56194 5.82512 36.9987 
90 0.981116 3.16621 16.8205 


